Layers,Mixes_per_Layer,Run,Target_Index,Entropy
3,3,0,0,9.695875742857142
3,3,1,0,9.636873237167018
3,3,2,0,9.58419325454543
3,3,3,0,9.707164965624404
3,3,4,0,9.608922451521584
3,3,5,0,9.563267686024174
3,3,6,0,9.60434665798577
3,3,7,0,9.646653793063397
3,3,8,0,9.763833185053956
3,3,9,0,9.583713999020091
3,3,10,0,9.630492864756892
3,3,11,0,9.6998888520431
3,3,12,0,9.571793793119118
3,3,13,0,9.612684093774352
3,3,14,0,9.686429145481787
3,3,0,1,9.664674456353458
3,3,1,1,9.585344092849681
3,3,2,1,9.64278263454984
3,3,3,1,9.660154804006169
3,3,4,1,9.69588798000673
3,3,5,1,9.567420546511448
3,3,6,1,9.62241927478417
3,3,7,1,9.579190469033179
3,3,8,1,9.625784398967276
3,3,9,1,9.637622494218672
3,3,10,1,9.623691285874703
3,3,11,1,9.49125413055166
3,3,12,1,9.541140892776749
3,3,13,1,9.677498906435472
3,3,14,1,9.700787124103499
3,3,0,2,9.670685374373969
3,3,1,2,9.483033003859946
3,3,2,2,9.594296536404018
3,3,3,2,9.705441500604914
3,3,4,2,9.698884161044957
3,3,5,2,9.54562662281932
3,3,6,2,9.710895406428731
3,3,7,2,9.606718516020853
3,3,8,2,9.539372808593509
3,3,9,2,9.614357428613001
3,3,10,2,9.586765021823199
3,3,11,2,9.576502023109677
3,3,12,2,9.601512653622155
3,3,13,2,9.68868847416722
3,3,14,2,9.611145905142441
3,3,0,3,9.700633316226313
3,3,1,3,9.503724845390192
3,3,2,3,9.62828579041059
3,3,3,3,9.665902888895287
3,3,4,3,9.725929721025183
3,3,5,3,9.663585256920971
3,3,6,3,9.590138602405272
3,3,7,3,9.660494813536243
3,3,8,3,9.664421189432696
3,3,9,3,9.657161110309618
3,3,10,3,9.631316940906043
3,3,11,3,9.607756511899831
3,3,12,3,9.579237286501733
3,3,13,3,9.739577257610598
3,3,14,3,9.596777192943309
3,3,0,4,9.739628275999689
3,3,1,4,9.627003106850797
3,3,2,4,9.718790097143902
3,3,3,4,9.685277917683127
3,3,4,4,9.694394122730749
3,3,5,4,9.667826311238992
3,3,6,4,9.57013374440282
3,3,7,4,9.58244583193589
3,3,8,4,9.607609417093872
3,3,9,4,9.621719716767483
3,3,10,4,9.606419662628227
3,3,11,4,9.558503986870893
3,3,12,4,9.591589113043993
3,3,13,4,9.680323167200276
3,3,14,4,9.626472619982058
3,3,0,5,9.738502332306759
3,3,1,5,9.70630633270577
3,3,2,5,9.6417356254513
3,3,3,5,9.59072390663856
3,3,4,5,9.72413561737523
3,3,5,5,9.624712884477997
3,3,6,5,9.606910566817307
3,3,7,5,9.620604906749227
3,3,8,5,9.533393338243961
3,3,9,5,9.63002559548664
3,3,10,5,9.64210245031074
3,3,11,5,9.627154855684594
3,3,12,5,9.619140957983143
3,3,13,5,9.646941246031766
3,3,14,5,9.673077850015913
3,3,0,6,9.75440612095786
3,3,1,6,9.621285173566983
3,3,2,6,9.608101217229487
3,3,3,6,9.614879288358631
3,3,4,6,9.662409887679626
3,3,5,6,9.560932177036506
3,3,6,6,9.58327525839097
3,3,7,6,9.553277808337084
3,3,8,6,9.593530196612067
3,3,9,6,9.694764419028484
3,3,10,6,9.617670766862403
3,3,11,6,9.575082227305819
3,3,12,6,9.648912601054368
3,3,13,6,9.617796126935657
3,3,14,6,9.564004805833578
3,3,0,7,9.648749537345111
3,3,1,7,9.693070944336485
3,3,2,7,9.652480873421432
3,3,3,7,9.646108263658085
3,3,4,7,9.661411081221202
3,3,5,7,9.57809244774955
3,3,6,7,9.512385646693414
3,3,7,7,9.529205318299509
3,3,8,7,9.651279452023596
3,3,9,7,9.657743388591197
3,3,10,7,9.550208434825352
3,3,11,7,9.672671611955662
3,3,12,7,9.649314784736129
3,3,13,7,9.654747645083265
3,3,14,7,9.672805506409608
3,3,0,8,9.71226722819481
3,3,1,8,9.655085284078483
3,3,2,8,9.678906046259529
3,3,3,8,9.604715517401633
3,3,4,8,9.56153850932379
3,3,5,8,9.620612008939602
3,3,6,8,9.61460762471534
3,3,7,8,9.589881729609894
3,3,8,8,9.729293997240456
3,3,9,8,9.63182148698841
3,3,10,8,9.6445998833029
3,3,11,8,9.58717331663218
3,3,12,8,9.702345171059049
3,3,13,8,9.619093430549412
3,3,14,8,9.667534490392896
3,3,0,9,9.721062190817797
3,3,1,9,9.672467144314643
3,3,2,9,9.676092406816919
3,3,3,9,9.767996440911812
3,3,4,9,9.538218279248303
3,3,5,9,9.562659872539239
3,3,6,9,9.520865196359955
3,3,7,9,9.629424340933063
3,3,8,9,9.663868445497124
3,3,9,9,9.691558521443284
3,3,10,9,9.626062472602122
3,3,11,9,9.592933568736978
3,3,12,9,9.681414524995198
3,3,13,9,9.752801532790087
3,3,14,9,9.741165940708898
3,3,0,10,9.738275489508977
3,3,1,10,9.624540493777001
3,3,2,10,9.752899795913002
3,3,3,10,9.61052660227112
3,3,4,10,9.582393115522223
3,3,5,10,9.631038476248435
3,3,6,10,9.509757494816144
3,3,7,10,9.627968095896858
3,3,8,10,9.675790646877012
3,3,9,10,9.78655122958713
3,3,10,10,9.518349525569633
3,3,11,10,9.644982241820065
3,3,12,10,9.638669162712024
3,3,13,10,9.681233372172903
3,3,14,10,9.748796736481475
3,3,0,11,9.634601680538914
3,3,1,11,9.716132015720087
3,3,2,11,9.696362212777299
3,3,3,11,9.695631924026268
3,3,4,11,9.599844047140826
3,3,5,11,9.670947177128548
3,3,6,11,9.671084705247875
3,3,7,11,9.640943931507392
3,3,8,11,9.674564112276203
3,3,9,11,9.664116909382082
3,3,10,11,9.618926141275
3,3,11,11,9.576151717517039
3,3,12,11,9.538577802964353
3,3,13,11,9.74150133855869
3,3,14,11,9.782659552072454
3,3,0,12,9.607218747386373
3,3,1,12,9.571005695836625
3,3,2,12,9.632955803242455
3,3,3,12,9.732968763409334
3,3,4,12,9.622869993672381
3,3,5,12,9.637795295118234
3,3,6,12,9.645372172302668
3,3,7,12,9.626444180652504
3,3,8,12,9.773262616762747
3,3,9,12,9.739348712150568
3,3,10,12,9.641810576792382
3,3,11,12,9.643234078117052
3,3,12,12,9.532937930214027
3,3,13,12,9.760549835193768
3,3,14,12,9.71047335652802
3,3,0,13,9.60686693220787
3,3,1,13,9.696321568463285
3,3,2,13,9.614966425137784
3,3,3,13,9.705541387694092
3,3,4,13,9.60247716036825
3,3,5,13,9.64181338611605
3,3,6,13,9.676750464070508
3,3,7,13,9.638134946058381
3,3,8,13,9.755492191492134
3,3,9,13,9.77692549001039
3,3,10,13,9.71648416166461
3,3,11,13,9.576276891681948
3,3,12,13,9.659620946712698
3,3,13,13,9.708358015953957
3,3,14,13,9.747433015986214
3,3,0,14,9.633757535879791
3,3,1,14,9.595724418584227
3,3,2,14,9.577700111303706
3,3,3,14,9.6675062313225
3,3,4,14,9.550580238543994
3,3,5,14,9.60494485890285
3,3,6,14,9.588197758608564
3,3,7,14,9.584425018878276
3,3,8,14,9.700377883850853
3,3,9,14,9.644846510082855
3,3,10,14,9.689166628386333
3,3,11,14,9.658439021685206
3,3,12,14,9.623587905634416
3,3,13,14,9.65954558605835
3,3,14,14,9.751867188185422
3,3,0,15,9.59519577634186
3,3,1,15,9.495109962216729
3,3,2,15,9.574610529675414
3,3,3,15,9.741289537228518
3,3,4,15,9.603040959555164
3,3,5,15,9.686263087487434
3,3,6,15,9.620438830366906
3,3,7,15,9.532081891366918
3,3,8,15,9.62281615388364
3,3,9,15,9.651110261513907
3,3,10,15,9.69822214086822
3,3,11,15,9.562695182134297
3,3,12,15,9.594640871313675
3,3,13,15,9.640206540128174
3,3,14,15,9.717645110296864
3,3,0,16,9.620070690314085
3,3,1,16,9.662987820746334
3,3,2,16,9.707221902087745
3,3,3,16,9.580904317089024
3,3,4,16,9.581021619743456
3,3,5,16,9.661030581656807
3,3,6,16,9.57764140795046
3,3,7,16,9.55874147249289
3,3,8,16,9.61349041918101
3,3,9,16,9.585187412726128
3,3,10,16,9.697493236464823
3,3,11,16,9.634681487188262
3,3,12,16,9.623674452516747
3,3,13,16,9.656063552019189
3,3,14,16,9.66026289622185
3,3,0,17,9.577036304509098
3,3,1,17,9.79202553901231
3,3,2,17,9.6701214658352
3,3,3,17,9.578883358439695
3,3,4,17,9.65948204250729
3,3,5,17,9.594914670491761
3,3,6,17,9.635406588199952
3,3,7,17,9.638703418221612
3,3,8,17,9.582522031862654
3,3,9,17,9.624257034369347
3,3,10,17,9.612858810042518
3,3,11,17,9.625310456128846
3,3,12,17,9.587601177149535
3,3,13,17,9.600058498809263
3,3,14,17,9.710154580505959
3,3,0,18,9.529043703547371
3,3,1,18,9.71025265990471
3,3,2,18,9.584759675027815
3,3,3,18,9.440707538740169
3,3,4,18,9.51438304101116
3,3,5,18,9.53202495025234
3,3,6,18,9.595371217554248
3,3,7,18,9.532856031221463
3,3,8,18,9.584643603830347
3,3,9,18,9.551004554478489
3,3,10,18,9.558093977908838
3,3,11,18,9.581096539296983
3,3,12,18,9.684929281680814
3,3,13,18,9.666383305267328
3,3,14,18,9.615291302270382
3,3,0,19,9.29305267040847
3,3,1,19,9.762145164179358
3,3,2,19,9.587138536327123
3,3,3,19,9.12693623256044
3,3,4,19,9.165231925024917
3,3,5,19,9.55014557365929
3,3,6,19,9.53052992920956
3,3,7,19,9.523754524803758
3,3,8,19,9.595770297428977
3,3,9,19,9.583088658153072
3,3,10,19,9.644013605031734
3,3,11,19,9.537988930379372
3,3,12,19,9.663459355431975
3,3,13,19,9.674494421966658
3,3,14,19,9.706402147350145
3,3,0,20,8.711551572021802
3,3,1,20,9.648067622861733
3,3,2,20,9.337327429268383
