Layers,Mixes_per_Layer,Run,Target_Index,Entropy
3,3,0,0,10.042839202130327
3,3,1,0,9.938228115029384
3,3,2,0,9.93356714430012
3,3,3,0,9.936266924059549
3,3,4,0,9.960215569977347
3,3,5,0,9.96306904919611
3,3,6,0,9.933136754685076
3,3,7,0,9.94401659184049
3,3,8,0,10.027638758855606
3,3,9,0,9.938812156374958
3,3,10,0,10.031000788699291
3,3,11,0,10.01069761639894
3,3,12,0,9.88201414187012
3,3,13,0,9.983345847594334
3,3,14,0,9.956716019912346
3,3,0,1,9.968366767474244
3,3,1,1,9.976582167288985
3,3,2,1,9.909448327848873
3,3,3,1,9.880695748761779
3,3,4,1,9.966167125425581
3,3,5,1,10.013579921492559
3,3,6,1,9.975834171104514
3,3,7,1,9.907225477231592
3,3,8,1,10.092821086806222
3,3,9,1,9.908124204695154
3,3,10,1,9.972679237952828
3,3,11,1,9.898450083038677
3,3,12,1,9.949717869212753
3,3,13,1,10.029848558694514
3,3,14,1,9.967588355012333
3,3,0,2,9.97244011176014
3,3,1,2,9.923800832898836
3,3,2,2,9.962291661544981
3,3,3,2,9.922540115034764
3,3,4,2,10.016649107617013
3,3,5,2,9.971968855648436
3,3,6,2,10.019854622370888
3,3,7,2,10.00753208698846
3,3,8,2,9.944739067641308
3,3,9,2,9.814793690522995
3,3,10,2,9.948403497165286
3,3,11,2,9.895204654142132
3,3,12,2,9.930579687719876
3,3,13,2,10.032826617568132
3,3,14,2,10.029923102907743
3,3,0,3,9.957998898864135
3,3,1,3,9.918423614029823
3,3,2,3,9.910491985786043
3,3,3,3,10.066706376691961
3,3,4,3,10.00815924288389
3,3,5,3,9.967948402893962
3,3,6,3,10.05061603673382
3,3,7,3,9.94105583392341
3,3,8,3,10.019964419845524
3,3,9,3,9.910677649325512
3,3,10,3,9.945532193823496
3,3,11,3,9.955757522387495
3,3,12,3,10.079818921998005
3,3,13,3,10.02655904620885
3,3,14,3,9.952808138575492
3,3,0,4,9.89926539779465
3,3,1,4,9.97011807718487
3,3,2,4,10.000388574324985
3,3,3,4,10.043938124723677
3,3,4,4,10.029444969569845
3,3,5,4,9.977749753295981
3,3,6,4,10.008172910038203
