Layers,Mixes_per_Layer,Run,Target_Index,Entropy
3,3,0,0,8.504849641540295
3,3,1,0,8.685044753147428
3,3,2,0,8.36942687350531
3,3,3,0,8.558518437540583
3,3,4,0,8.548506997170097
3,3,5,0,8.584088026397872
3,3,6,0,8.50387720373882
3,3,7,0,8.572956616333833
3,3,8,0,8.422842236376606
3,3,9,0,8.57472459728479
3,3,10,0,8.434760923383367
3,3,11,0,8.53539242335512
3,3,12,0,8.497994896890095
3,3,13,0,8.433866007963033
3,3,14,0,8.583952519415318
3,3,0,1,8.592328201952446
3,3,1,1,8.548941915027388
3,3,2,1,8.419234808653096
3,3,3,1,8.74261102818043
3,3,4,1,8.617638175584053
3,3,5,1,8.543031900084868
3,3,6,1,8.448770169069704
3,3,7,1,8.628895151734016
3,3,8,1,8.545162844747212
3,3,9,1,8.556824203921556
3,3,10,1,8.422910999471227
3,3,11,1,8.527038083135274
3,3,12,1,8.682523934809808
3,3,13,1,8.672544846734379
3,3,14,1,8.629413713916357
3,3,0,2,8.72997605767442
3,3,1,2,8.637338644910674
3,3,2,2,8.576727847612624
3,3,3,2,8.755321753356252
3,3,4,2,8.486139502137162
3,3,5,2,8.531043757836702
3,3,6,2,8.483178019874927
3,3,7,2,8.594762500898364
3,3,8,2,8.697503368876001
3,3,9,2,8.406189983972551
3,3,10,2,8.586587856366211
3,3,11,2,8.614456762115084
3,3,12,2,8.492028465669007
3,3,13,2,8.640820259840435
3,3,14,2,8.755060406944297
3,3,0,3,8.616061678575694
3,3,1,3,8.523164942116763
3,3,2,3,8.577895998990925
3,3,3,3,8.492530117235516
3,3,4,3,8.470195406179423
3,3,5,3,8.50082961117619
3,3,6,3,8.56635918752621
3,3,7,3,8.609859671496466
3,3,8,3,8.410686595064352
3,3,9,3,8.46270016786794
3,3,10,3,8.640313740323931
3,3,11,3,8.767134735968842
3,3,12,3,8.488424354925366
3,3,13,3,8.713553232059382
3,3,14,3,8.732115422895456
3,3,0,4,8.621702788814629
3,3,1,4,8.588247700204462
3,3,2,4,8.590586069614435
3,3,3,4,8.495705592481553
3,3,4,4,8.626544592758629
3,3,5,4,8.71791891841634
3,3,6,4,8.470741302252943
3,3,7,4,8.600322179089728
3,3,8,4,8.623807990601053
3,3,9,4,8.5936892866694
3,3,10,4,8.589731827238202
3,3,11,4,8.57572921536971
3,3,12,4,8.487681229524716
3,3,13,4,8.559632369244271
3,3,14,4,8.725112637062795
3,3,0,5,8.318804355999143
3,3,1,5,8.739629800732853
3,3,2,5,8.567406468465375
3,3,3,5,8.516624602037504
3,3,4,5,8.443929901821935
3,3,5,5,8.586782909672715
3,3,6,5,8.680188007727002
3,3,7,5,8.58761290759675
3,3,8,5,8.652922491470344
3,3,9,5,8.67896809951067
3,3,10,5,8.592587611488474
3,3,11,5,8.529258067897645
3,3,12,5,8.51438805715637
3,3,13,5,8.418144500652124
3,3,14,5,8.606299613012643
3,3,0,6,8.486913721463415
3,3,1,6,8.64162423526452
3,3,2,6,8.56189405625441
3,3,3,6,8.577574848354926
3,3,4,6,8.592827987815177
3,3,5,6,8.666788668079004
3,3,6,6,8.545054483682165
3,3,7,6,8.64300603275216
3,3,8,6,8.542886379143669
3,3,9,6,8.57082208688231
3,3,10,6,8.549368477924046
3,3,11,6,8.467555111234045
3,3,12,6,8.487843848236093
3,3,13,6,8.59522533360324
3,3,14,6,8.44153436194224
3,3,0,7,8.575133137708557
3,3,1,7,8.544094214640918
3,3,2,7,8.64108071304691
3,3,3,7,8.534358537378614
3,3,4,7,8.681150863329131
3,3,5,7,8.7070333402479
3,3,6,7,8.505501502208261
3,3,7,7,8.563236776240753
3,3,8,7,8.608916723427939
3,3,9,7,8.597633233594506
3,3,10,7,8.560769465353845
3,3,11,7,8.575589526188047
3,3,12,7,8.598699301618254
3,3,13,7,8.622701376112094
3,3,14,7,8.619341732289078
3,3,0,8,8.505551583365412
3,3,1,8,8.448862464154082
3,3,2,8,8.699464898766491
3,3,3,8,8.609971908093481
3,3,4,8,8.744841617134005
3,3,5,8,8.659859359610703
3,3,6,8,8.570881543689334
3,3,7,8,8.37808048902155
3,3,8,8,8.548851407376029
3,3,9,8,8.5982702901971
3,3,10,8,8.54007861598328
3,3,11,8,8.540498668989217
3,3,12,8,8.45799896554483
3,3,13,8,8.562575129042653
3,3,14,8,8.440289053857576
3,3,0,9,8.529382948915481
3,3,1,9,8.439480282371855
3,3,2,9,8.648463647222183
3,3,3,9,8.638533482484132
3,3,4,9,8.60296737062206
3,3,5,9,8.533227169568491
3,3,6,9,8.46414533708895
3,3,7,9,8.383283942898391
3,3,8,9,8.577301987867264
