Layers,Mixes_per_Layer,Run,Target_Index,Entropy
3,3,0,0,9.240148037210327
3,3,1,0,9.226537571342856
3,3,2,0,9.242927362620248
3,3,3,0,9.267394927757678
3,3,4,0,9.214978617965265
3,3,5,0,9.211046867422994
3,3,6,0,9.259168282587936
3,3,7,0,9.225180134699066
3,3,8,0,9.0348949094199
3,3,9,0,9.173191053448885
3,3,10,0,9.067789874439006
3,3,11,0,9.122709762088308
3,3,12,0,9.152526728603997
3,3,13,0,9.265460725362379
3,3,14,0,9.152594112705941
3,3,0,1,9.242703324835215
3,3,1,1,9.374854895540615
3,3,2,1,9.192589838705363
3,3,3,1,9.190058462599891
3,3,4,1,9.13259122624107
3,3,5,1,9.13813446519291
3,3,6,1,9.177416137788901
3,3,7,1,9.241861036311528
3,3,8,1,9.100326367025199
3,3,9,1,9.12944591575554
3,3,10,1,9.161235435438778
3,3,11,1,9.183298227039604
3,3,12,1,9.269642992623623
3,3,13,1,9.284384280209535
3,3,14,1,9.317608717970481
3,3,0,2,9.261731484512019
3,3,1,2,9.303924345750026
3,3,2,2,9.185570676406245
3,3,3,2,9.173652588399548
3,3,4,2,9.37782737304832
3,3,5,2,9.28825983828255
3,3,6,2,9.135086048330338
3,3,7,2,9.111490158297679
3,3,8,2,9.063387339470134
3,3,9,2,9.139343170519085
3,3,10,2,9.148564269292168
3,3,11,2,9.004141616475932
3,3,12,2,9.273856109414096
3,3,13,2,9.183662841720329
3,3,14,2,9.27209668858955
3,3,0,3,9.27389104895673
3,3,1,3,9.169224980197919
3,3,2,3,9.174248459062428
3,3,3,3,9.22482433549813
3,3,4,3,9.327532849898207
3,3,5,3,9.302886717354987
3,3,6,3,9.147122299423023
3,3,7,3,9.26423934740683
3,3,8,3,9.130019136813985
3,3,9,3,9.067316608488618
3,3,10,3,9.11310155522895
3,3,11,3,9.145954301386109
3,3,12,3,9.154690599991739
3,3,13,3,9.258317038525654
3,3,14,3,9.336833984401164
3,3,0,4,9.206502215600134
3,3,1,4,9.250568017205103
3,3,2,4,9.169508417319278
3,3,3,4,9.197673180448485
3,3,4,4,9.339419717588813
3,3,5,4,9.185458707936974
3,3,6,4,9.23975063752845
3,3,7,4,9.163921364076078
3,3,8,4,9.081585162998561
3,3,9,4,9.19327616614345
3,3,10,4,9.118875413843414
3,3,11,4,9.222795732986722
3,3,12,4,9.2606562267677
3,3,13,4,9.20422688552381
3,3,14,4,9.189609315155879
3,3,0,5,9.231250832797326
3,3,1,5,9.234717344704974
3,3,2,5,9.178940105042859
3,3,3,5,9.257389133179966
3,3,4,5,9.297751001173262
3,3,5,5,9.286364202513653
3,3,6,5,9.260456594325268
3,3,7,5,9.206745252913969
3,3,8,5,9.140238272169913
3,3,9,5,9.213495934850089
3,3,10,5,9.165853032428291
3,3,11,5,9.202826258360107
3,3,12,5,9.21323019022439
3,3,13,5,9.250184393653825
3,3,14,5,9.306416224354445
3,3,0,6,9.212066914465977
3,3,1,6,9.260554904655578
3,3,2,6,9.20049902565396
